state,type,max_price,min_price,address,lat,lng,landArea,builtUp,sizeUnit,level1,level2,level3
selangor,sale,536220,536220,"Bandar Tasik Kesuma, Selangor",,,,1727,SQUARE_FEET,Selangor,Semenyih,
selangor,sale,300000,300000,"Jalan 4/3, Semenyih, 43500, Selangor",2.934609,101.845601,,1000,SQUARE_FEET,Selangor,Semenyih,Zahra Residensi
selangor,sale,0,699199,"City Of Elmina, Shah Alam, Selangor",3.186382,101.523895,,From 1387 - 2341,,Selangor,Shah Alam,City of Elmina : Ilham Residence
selangor,sale,1950000,1950000,"Sierramas West , 47000, Selangor",,,3170,3300,SQUARE_FEET,Selangor,SierraMas,
selangor,sale,1320000,1320000,"Jalan Pinggiran 1/6A, Taman Pinggiran Putra, Seksyen 1, Bandar Putra Permai, Putra Villa, 43300, Selangor",2.9945632,101.678445,5436,4607,SQUARE_FEET,Selangor,Seri Kembangan,
selangor,sale,750000,750000,"Persiaran Puchong Jaya Selatan, Bandar Puchong Jaya, 47100, Selangor",3.048125,101.630557,,1620,SQUARE_FEET,Selangor,Puchong,Sky Condominium (Skyz Residence)
selangor,sale,874800,874800,"Jalan Putra Prima Utama, Taman Putra Prima, 47100, Selangor",2.966006,101.593529,,2598,SQUARE_FEET,Selangor,Puchong,Tasik Residency
selangor,sale,310000,310000,"Jalan PJU 8/8A, Damansara Perdana, 47820, Selangor",3.166741,101.612008,,691,SQUARE_FEET,Selangor,Damansara Perdana,Empire Damansara
selangor,sale,1250000,1250000,"Anjung Suasana Bandar Seri Putra, Selangor",,,3200,4300,SQUARE_FEET,Selangor,Bangi,
selangor,sale,715000,715000,"Jalan BK5A/3, Bandar Kinrara 5, 47180, Selangor",3.048356,101.645549,,1281,SQUARE_FEET,Selangor,Bandar Kinrara,Ten Kinrara
selangor,sale,470000,470000,"Jalan Subang Permai, Subang Jaya, 47500, Selangor",3.053161,101.599374,,1248,SQUARE_FEET,Selangor,Subang Jaya,The Regina
selangor,sale,898000,898000,"Taman Selayang Jaya, Selangor",,,,2475,SQUARE_FEET,Selangor,Selayang,
selangor,sale,870000,870000,"selayang jaya, selayang jaya , Selangor",3.24066,101.6479069,1650,2300,SQUARE_FEET,Selangor,Selayang,
selangor,sale,1350000,1350000,"Bandar Baru Selayang, Selangor, Perdana Residence 2 ,selayang jaya, 68100, Selangor",3.263739,101.653824,1760,3182,SQUARE_FEET,Selangor,Selayang,
selangor,sale,4780000,4780000,"Jalan Polo 2, Petaling Jaya, Seri Selangor Polo Club , Kota Damansara, 47810, Selangor",3.1630643,101.5820144,8200,7500,SQUARE_FEET,Selangor,Kota Damansara,
selangor,sale,1438000,768240,"Setia Warisan Tropika, Sepang, Selangor",2.819829,101.694132,,From 2206 - 2525,,Selangor,Sepang,Adenia
selangor,sale,680000,680000,"Periwinkle,Scarlet, Chimes, Perennia, Wisteria, Penduline, Livia, Jalan Flora 3F, Livia,Bandar Rimbayu,Kota Kemuning, 42500, Selangor",2.9999492,101.5320279,1300,1658,SQUARE_FEET,Selangor,Kota Kemuning,
selangor,sale,700000,700000,"Chimes, Perennia, Penduline, Livia, Scarlet, WisteriaJalan Flora 3E, Chimes , Bandar Rimbayu , Kota Kemuning, 42500, Selangor",,,1650,2179,SQUARE_FEET,Selangor,Telok Panglima Garang,
selangor,sale,1042000,656000,"Setia Warisan Tropika, Sepang, Selangor",2.819829,101.694132,,From 1907 - 2108,,Selangor,Sepang,Belladonna
selangor,sale,3150000,3150000,"Jalan PJU 3/28 Sunway Damanara, 28 Residency Sunway Damansara Petaling Jaya  , 47810, Selangor",3.1433473,101.5996358,4400,5000,SQUARE_FEET,Selangor,Kota Damansara,
selangor,sale,670000,670000,"Jalan PJU 1a/4a, Ara Damansara, 47310, Selangor",3.112232,101.583676,,1200,SQUARE_FEET,Selangor,Ara Damansara,
selangor,sale,2200000,2200000,"Jalan PJU3/28 , Petaling Jaya, 28 Residency Sunway Damansara, 47810, Selangor",3.1433473,101.5996358,4400,4300,SQUARE_FEET,Selangor,Kota Damansara,
selangor,sale,0,577000,"Setia Alam, Selangor",3.112499,101.459656,5 acres,From 858 - 1221,,Selangor,Setia Alam,Setia City Residences
selangor,sale,3700000,3700000,"Jalan SHB, Subang Heights, 47500, Selangor",3.064651,101.5598969,5680,5100,SQUARE_FEET,Selangor,Subang Heights,
selangor,sale,1800000,1800000,"Estilo Villa @ Monterey, Jalan Eco Sanctuari, Kota Kemuning, Eco Sanctuary, Kota Kemuning, 42500, Selangor",2.944665,101.541058,3400,3113,SQUARE_FEET,Selangor,Kota Kemuning,
selangor,sale,1600000,1600000,"Regio Villa @ Monterey Jalan Eco Santuari, Eco Sanctuary , 42500, Selangor",2.946374,101.541802,3060,2743,SQUARE_FEET,Selangor,Kota Kemuning,
selangor,sale,0,1023000,"Setia EcoHill, Semenyih, Selangor",2.92556,101.839635,,From 2388 - 2490,,Selangor,Semenyih,Yumena Residences (2 & 2.5 Storey Semi D Homes)
selangor,sale,940000,940000,"CYBERJAYA, SELANGOR , LAKEPOINT RESIDENCE @ CYBERJAYA , 63000, Selangor",2.921318,101.6559349,1540,2750,SQUARE_FEET,Selangor,Cyberjaya,
selangor,sale,980000,980000,"Pentas 2, Facing Field Pentas 2 Alam Impian,Ukiran,Tari, Selangor",3.024628,101.51608,2125,3088,SQUARE_FEET,Selangor,Alam Impian,
selangor,sale,1100000,1100000,"Cyberjaya, Selangor , Jewel of Grasmere @ Setia Eco Glades, 63000, Selangor",2.921318,101.6559349,1760,2118,SQUARE_FEET,Selangor,Cyberjaya,
selangor,sale,850000,850000,"Cyberjaya, Selangor , Setia Safiro @ Setia Eco Glades, 63100, Selangor",2.921318,101.6559349,1540,2300,SQUARE_FEET,Selangor,Cyberjaya,
selangor,sale,2570000,2570000,"Bk8 Irama 2, 47180, Selangor",,,5400,3100,SQUARE_FEET,Selangor,Bandar Kinrara,
selangor,sale,3900000,3900000,"Subang Jaya, Selangor",3.064829,101.562604,5680,6100,SQUARE_FEET,Selangor,Subang Heights,
selangor,sale,1581000,1581000,"Subang Heights , Selangor",3.064829,101.562604,5100,,SQUARE_FEET,Selangor,Subang Heights,
selangor,sale,5500000,5500000,"Subang heights , Selangor",,,7680,7800,SQUARE_FEET,Selangor,Subang Heights,
selangor,sale,2400000,2400000,"Section 12 Petaling jaya, Seksyen 12, 46000, Selangor",3.11322,101.64492,8800,3000,SQUARE_FEET,Selangor,Petaling Jaya,
selangor,sale,645000,645000,"Tropicana Aman, Eco Sanctuary, Twenty-five7, Bandar Rimbayu, 42500, Selangor",2.9467643,101.542398,1170,1665,SQUARE_FEET,Selangor,Kota Kemuning,
selangor,sale,2000000,2000000,"jalan idaman 5, viridian, taman rakan, bandar mahkota cheras, s, Selangor",3.0298219,101.7823074,3480,5900,SQUARE_FEET,Selangor,Bandar Sungai Long,
selangor,sale,980000,980000,"Pentas 2, Selangor",,,2125,3088,SQUARE_FEET,Selangor,Alam Impian,
selangor,sale,897000,788000,"Setia Alamsari, Kajang, Selangor",2.921287,101.803429,,From 1965 - 2022,,Selangor,Kajang,Caressa
selangor,sale,350000,350000,"Jalan Putra Perdana 14, Taman Putra Perdana, 47100, Selangor",2.952958,101.597427,,1010,SQUARE_FEET,Selangor,Puchong,E Island Lake Haven
selangor,sale,1900000,1900000,Selangor,,,,3600,SQUARE_FEET,Selangor,Bandar Sunway,
selangor,sale,0,1978000,"Setia Alamsari, Kajang, Selangor",2.921287,101.803429,,From 3161 - 3881,,Selangor,Kajang,Verdale
selangor,sale,2600000,2600000,"Jalan kenanga, Sierramas West, 47000, Selangor",3.2091153,101.5803522,4498,5400,SQUARE_FEET,Selangor,SierraMas,
selangor,sale,1735000,1735000,"The Rise Emerald West Kota Emerald, Selangor",,,4000,3998,SQUARE_FEET,Selangor,Rawang,
selangor,sale,550000,550000,"Jalan PJU 1a/3, Ara Damansara, 47301, Selangor",3.117936,101.589301,,810,SQUARE_FEET,Selangor,Ara Damansara,Cantara Residences
selangor,sale,0,1590000,"Setia Alamsari, Kajang, Selangor",2.921287,101.803429,,From 3118,,Selangor,Kajang,Verdale - Edence & Florence
selangor,sale,530000,530000,"Bandar Seri Coalfields SENNA, Sungai Buloh, 48020, Selangor",,,,1885,SQUARE_FEET,Selangor,Sungai Buloh,
selangor,sale,550000,550000,"Persiaran Sepang, Cyber 11, Cyberjaya, 63000, Selangor",2.928722,101.634125,,1008,SQUARE_FEET,Selangor,Cyberjaya,Lake Point Residence
selangor,sale,1780000,1780000,"Setia Eco Glades, Cyber 1, Cyberjaya, Selangor , Glades of Westlake @ Cyberjaya , 63100, Selangor",2.9360449,101.6337967,3200,2950,SQUARE_FEET,Selangor,Cyberjaya,
selangor,sale,0,250000,"Eco Sanctuary, Kota Kemuning, Selangor",2.946012,101.541326,,From 570,,Selangor,Kota Kemuning,Duduk Se.Ruang
selangor,sale,2700000,2700000,"SierraMas sungai buloh, Selangor",,,10476,,SQUARE_FEET,Selangor,SierraMas,
selangor,sale,510000,510000,"Cyberjaya, Persiaran Teknokrat, Selangor, Casabayu, Cyberjaya, 63000, Selangor",,,1650,1819,SQUARE_FEET,Selangor,Cyberjaya,
selangor,sale,5480000,5480000,"Selangor, 47000, Selangor",,,8650,9500,SQUARE_FEET,Selangor,SierraMas,
selangor,sale,1230000,1230000,"Cyberjaya, Selangor, Isle of Botanica @ Setia Eco Glades, 63000, Selangor",,,1920,2400,SQUARE_FEET,Selangor,Cyberjaya,
selangor,sale,1280000,1280000,"Cyberjaya, Persiaran APEC, Selangor , Trillium @ Perdana Lakeview, Cyberjaya , 63000, Selangor",2.9263984,101.6570135,2880,3645,SQUARE_FEET,Selangor,Cyberjaya,
